text,author,term,count
1,Hamilton,-OTHER-,952
1,Hamilton,a,25
1,Hamilton,all,9
1,Hamilton,also,0
1,Hamilton,an,11
1,Hamilton,and,40
1,Hamilton,any,6
1,Hamilton,are,12
1,Hamilton,as,10
1,Hamilton,at,8
1,Hamilton,be,34
1,Hamilton,been,3
1,Hamilton,but,2
1,Hamilton,by,14
1,Hamilton,can,3
1,Hamilton,do,1
1,Hamilton,down,0
1,Hamilton,even,2
1,Hamilton,every,3
1,Hamilton,for,12
1,Hamilton,from,11
1,Hamilton,had,1
1,Hamilton,has,6
1,Hamilton,have,10
1,Hamilton,her,0
1,Hamilton,his,0
1,Hamilton,if,4
1,Hamilton,in,27
1,Hamilton,into,2
1,Hamilton,is,13
1,Hamilton,it,20
1,Hamilton,its,10
1,Hamilton,may,11
1,Hamilton,more,7
1,Hamilton,must,3
1,Hamilton,my,8
1,Hamilton,no,3
1,Hamilton,not,14
1,Hamilton,now,0
1,Hamilton,of,106
1,Hamilton,on,9
1,Hamilton,one,4
1,Hamilton,only,0
1,Hamilton,or,6
1,Hamilton,our,3
1,Hamilton,shall,7
1,Hamilton,should,1
1,Hamilton,so,3
1,Hamilton,some,0
1,Hamilton,such,1
1,Hamilton,than,11
1,Hamilton,that,28
1,Hamilton,the,133
1,Hamilton,their,14
1,Hamilton,then,0
1,Hamilton,there,2
1,Hamilton,thing,1
1,Hamilton,this,14
1,Hamilton,to,72
1,Hamilton,up,0
1,Hamilton,upon,6
1,Hamilton,was,0
1,Hamilton,were,1
1,Hamilton,what,0
1,Hamilton,when,1
1,Hamilton,which,18
1,Hamilton,who,8
1,Hamilton,will,25
1,Hamilton,with,6
1,Hamilton,would,2
1,Hamilton,your,10
2,Jay,-OTHER-,1045
2,Jay,a,30
2,Jay,all,4
2,Jay,also,2
2,Jay,an,1
2,Jay,and,83
2,Jay,any,1
2,Jay,are,6
2,Jay,as,16
2,Jay,at,10
2,Jay,be,15
2,Jay,been,8
2,Jay,but,8
2,Jay,by,10
2,Jay,can,0
2,Jay,do,0
2,Jay,down,0
2,Jay,even,0
2,Jay,every,2
2,Jay,for,13
2,Jay,from,4
2,Jay,had,4
2,Jay,has,6
2,Jay,have,17
2,Jay,her,0
2,Jay,his,0
2,Jay,if,3
2,Jay,in,34
2,Jay,into,6
2,Jay,is,16
2,Jay,it,38
2,Jay,its,5
2,Jay,may,4
2,Jay,more,5
2,Jay,must,4
2,Jay,my,2
2,Jay,no,1
2,Jay,not,10
2,Jay,now,3
2,Jay,of,83
2,Jay,on,8
2,Jay,one,10
2,Jay,only,5
2,Jay,or,10
2,Jay,our,4
2,Jay,shall,1
2,Jay,should,4
2,Jay,so,5
2,Jay,some,4
2,Jay,such,2
2,Jay,than,5
2,Jay,that,44
2,Jay,the,107
2,Jay,their,21
2,Jay,then,1
2,Jay,there,0
2,Jay,thing,0
2,Jay,this,14
2,Jay,to,53
2,Jay,up,0
2,Jay,upon,1
2,Jay,was,8
2,Jay,were,7
